Cell_ID,Batch_ID,Production_Line,Shift,Supplier,Ambient_Temp_C,Anode_Overhang_mm,Electrolyte_Volume_ml,Internal_Resistance_mOhm,Capacity_mAh,Retention_50Cycle_Pct,Defect_Type
CELL-001703,BTH-0472,Line_1,Night,LithioMat,19.12,0.124,15.09,13.2,4981,96.98,None
CELL-008925,BTH-0186,Line_2,Night,ChemCorp,23.71,0.145,14.97,13.74,5016,98.88,None
CELL-002734,BTH-0108,Line_3,Morning,LithioMat,25.93,0.157,14.85,14.99,4990,96.32,None
CELL-019757,BTH-0260,Line_1,Night,ChemCorp,22.79,0.152,14.94,13.81,5015,97.67,None
CELL-011749,BTH-0330,Line_2,Evening,LithioMat,24.09,0.14,14.99,14.23,4986,97.04,None
CELL-003566,BTH-0380,Line_1,Night,LithioMat,21.51,0.192,14.96,13.84,5013,96.26,None
CELL-007551,BTH-0490,Line_2,Morning,ChemCorp,23.71,0.092,15.04,13.64,5043,96.35,None
CELL-017256,BTH-0421,Line_1,Evening,LithioMat,25.39,0.11,14.97,13.96,4945,97.93,None
CELL-004144,BTH-0404,Line_3,Morning,VoltIndustries,22.24,0.153,15.1,14.22,5029,96.32,None
CELL-019692,BTH-0407,Line_2,Morning,ChemCorp,24.15,0.135,15.04,14.51,5042,96.34,None
CELL-005129,BTH-0467,Line_2,Morning,ChemCorp,24.57,0.136,14.87,13.76,5069,97.36,None
CELL-019863,BTH-0095,Line_3,Evening,ChemCorp,23.42,0.157,14.97,14.25,4969,98.24,None
CELL-015061,BTH-0456,Line_3,Morning,ChemCorp,21.75,0.139,15.0,14.06,4981,96.85,None
CELL-014379,BTH-0338,Line_3,Morning,ChemCorp,24.31,0.154,14.94,13.66,4991,96.37,None
CELL-005740,BTH-0378,Line_3,Night,ChemCorp,20.93,0.15,14.86,12.83,4985,97.25,None
CELL-019862,BTH-0320,Line_2,Night,ChemCorp,21.33,0.13,14.98,13.49,4966,96.25,None
CELL-000723,BTH-0410,Line_3,Morning,VoltIndustries,22.4,0.142,14.92,14.54,4992,97.38,None
CELL-009727,BTH-0071,Line_2,Evening,ChemCorp,23.12,0.127,14.88,13.67,5013,96.54,None
CELL-005004,BTH-0275,Line_2,Morning,LithioMat,25.42,0.145,14.92,14.52,5020,96.99,None
CELL-011397,BTH-0331,Line_3,Evening,LithioMat,24.53,0.098,14.93,14.42,4915,97.95,None
CELL-012862,BTH-0375,Line_2,Night,VoltIndustries,21.15,0.107,15.03,14.91,4919,95.68,None
CELL-010372,BTH-0486,Line_2,Morning,LithioMat,25.33,0.132,14.99,12.9,5026,97.82,None
CELL-005137,BTH-0359,Line_1,Night,VoltIndustries,24.92,0.159,14.95,15.05,5028,96.81,High Internal Resistance
CELL-013805,BTH-0411,Line_3,Night,ChemCorp,20.58,0.111,15.02,12.92,4977,96.8,None
CELL-003367,BTH-0124,Line_3,Morning,ChemCorp,22.69,0.097,14.95,13.67,4974,96.19,Poor Retention
CELL-014074,BTH-0234,Line_3,Evening,ChemCorp,27.48,0.152,14.9,13.81,4965,95.31,None
CELL-005008,BTH-0031,Line_1,Night,ChemCorp,21.79,0.155,14.91,14.63,5021,95.95,None
CELL-013480,BTH-0324,Line_3,Night,LithioMat,20.74,0.132,14.8,14.84,4994,96.64,None
CELL-004101,BTH-0129,Line_1,Night,VoltIndustries,20.59,0.173,15.03,16.1,4864,91.09,High Internal Resistance
CELL-007929,BTH-0444,Line_1,Morning,LithioMat,26.5,0.146,14.78,16.44,4836,96.7,High Internal Resistance
CELL-006438,BTH-0386,Line_1,Night,VoltIndustries,20.31,0.138,14.9,15.21,4986,96.99,High Internal Resistance
CELL-008835,BTH-0015,Line_1,Morning,LithioMat,19.99,0.127,15.06,14.02,4984,98.66,None
CELL-017539,BTH-0460,Line_3,Morning,LithioMat,26.3,0.122,14.88,12.88,5004,98.41,None
CELL-016577,BTH-0341,Line_3,Night,LithioMat,22.14,0.115,15.1,14.85,5001,98.74,None
CELL-005991,BTH-0098,Line_1,Morning,ChemCorp,25.27,0.146,14.87,14.25,5023,97.1,None
CELL-006762,BTH-0433,Line_1,Night,ChemCorp,20.98,0.103,14.99,13.41,4996,97.21,None
CELL-018157,BTH-0181,Line_2,Evening,ChemCorp,27.74,0.138,14.88,13.63,4993,97.67,None
CELL-008475,BTH-0453,Line_2,Evening,ChemCorp,24.5,0.102,15.14,13.68,4981,97.78,None
CELL-007969,BTH-0321,Line_1,Morning,LithioMat,23.22,0.136,14.85,13.66,5036,96.73,None
CELL-018569,BTH-0204,Line_1,Night,ChemCorp,19.77,0.128,14.84,13.54,4954,96.06,None
CELL-000067,BTH-0014,Line_3,Evening,LithioMat,23.28,0.117,15.18,13.46,4961,97.36,None
CELL-008971,BTH-0042,Line_2,Morning,ChemCorp,25.43,0.15,14.92,13.94,5055,96.87,None
CELL-001901,BTH-0017,Line_3,Night,ChemCorp,20.56,0.183,14.95,13.93,5040,97.4,None
CELL-013312,BTH-0299,Line_2,Evening,ChemCorp,26.68,0.113,14.58,15.82,4855,94.34,High Internal Resistance
CELL-019122,BTH-0420,Line_3,Evening,LithioMat,21.91,0.135,15.17,13.91,4954,96.17,None
CELL-004579,BTH-0350,Line_3,Night,ChemCorp,18.44,0.133,14.87,13.81,4998,97.52,None
CELL-004370,BTH-0465,Line_1,Evening,ChemCorp,25.05,0.117,14.99,14.51,4969,97.09,None
CELL-009947,BTH-0013,Line_2,Morning,ChemCorp,22.87,0.144,15.15,13.95,5032,95.46,None
CELL-019456,BTH-0348,Line_2,Night,LithioMat,18.92,0.138,14.92,14.14,4959,97.31,None
CELL-019892,BTH-0112,Line_3,Evening,VoltIndustries,25.56,0.151,14.6,15.94,4866,93.83,High Internal Resistance
CELL-006628,BTH-0459,Line_1,Night,ChemCorp,24.47,0.115,14.95,13.69,5013,96.01,None
CELL-001912,BTH-0498,Line_1,Evening,VoltIndustries,22.35,0.139,15.05,14.94,5003,97.78,None
CELL-014287,BTH-0458,Line_2,Night,LithioMat,21.65,0.118,15.1,14.69,5055,96.57,None
CELL-014500,BTH-0176,Line_3,Morning,LithioMat,22.34,0.139,15.04,15.06,4976,97.47,High Internal Resistance
CELL-013295,BTH-0432,Line_1,Evening,VoltIndustries,22.75,0.12,15.06,14.6,5042,96.84,None
CELL-007621,BTH-0267,Line_1,Evening,ChemCorp,21.99,0.147,14.87,14.96,4980,96.48,None
CELL-008261,BTH-0026,Line_2,Night,LithioMat,23.38,0.141,15.22,13.52,5000,96.23,None
CELL-001321,BTH-0441,Line_1,Night,ChemCorp,21.49,0.091,15.25,14.32,4996,97.34,None
CELL-002612,BTH-0220,Line_2,Morning,ChemCorp,23.39,0.128,14.89,13.54,4972,96.77,None
CELL-018972,BTH-0236,Line_1,Night,LithioMat,23.41,0.173,15.0,14.04,5000,96.72,None
CELL-019142,BTH-0349,Line_2,Night,VoltIndustries,25.15,0.11,15.07,15.31,4932,96.07,High Internal Resistance
CELL-019364,BTH-0218,Line_3,Night,LithioMat,21.85,0.152,15.22,14.44,4999,97.67,None
CELL-017282,BTH-0419,Line_1,Evening,ChemCorp,23.48,0.131,15.09,13.73,5002,97.91,None
CELL-012536,BTH-0192,Line_1,Night,ChemCorp,21.03,0.169,15.02,13.61,5028,98.22,None
CELL-012737,BTH-0153,Line_1,Morning,ChemCorp,24.81,0.114,14.9,13.98,5038,96.22,None
CELL-007568,BTH-0382,Line_1,Evening,VoltIndustries,25.82,0.1,14.89,15.85,4868,94.48,High Internal Resistance
CELL-018014,BTH-0035,Line_3,Morning,ChemCorp,22.89,0.126,15.07,13.62,4997,96.37,None
CELL-004143,BTH-0281,Line_1,Night,VoltIndustries,20.23,0.172,14.87,14.47,4998,96.55,None
CELL-016879,BTH-0437,Line_2,Evening,LithioMat,24.22,0.147,15.19,13.96,4999,97.36,None
CELL-012456,BTH-0407,Line_1,Night,ChemCorp,22.08,0.091,15.03,13.46,4954,97.34,None
CELL-016201,BTH-0492,Line_2,Evening,ChemCorp,25.42,0.124,14.87,14.98,4981,96.29,None
CELL-014425,BTH-0059,Line_3,Night,LithioMat,22.93,0.153,15.03,14.05,5008,97.42,None
CELL-016346,BTH-0390,Line_1,Morning,VoltIndustries,24.87,0.131,15.04,15.79,4887,93.3,High Internal Resistance
CELL-012609,BTH-0213,Line_2,Evening,LithioMat,25.1,0.148,15.08,14.23,4993,97.5,None
CELL-013620,BTH-0495,Line_1,Morning,LithioMat,22.8,0.089,15.2,13.57,4997,98.1,None
CELL-019756,BTH-0492,Line_1,Night,LithioMat,21.93,0.127,15.21,13.97,4986,96.8,None
CELL-004956,BTH-0290,Line_1,Morning,ChemCorp,22.42,0.141,15.09,14.58,5002,96.45,None
CELL-009815,BTH-0140,Line_1,Morning,LithioMat,23.84,0.115,15.05,14.45,5103,98.32,None
CELL-000672,BTH-0442,Line_1,Evening,LithioMat,22.96,0.108,14.96,13.56,5038,96.36,None
CELL-019747,BTH-0071,Line_2,Night,LithioMat,19.67,0.11,15.13,13.75,5028,96.48,None
CELL-012810,BTH-0202,Line_3,Evening,VoltIndustries,24.66,0.129,14.82,15.11,4953,97.93,High Internal Resistance
CELL-008844,BTH-0209,Line_2,Morning,ChemCorp,25.94,0.196,14.62,15.9,4817,92.46,High Internal Resistance
CELL-001934,BTH-0318,Line_1,Night,LithioMat,20.68,0.113,14.91,14.29,5034,97.45,None
CELL-004638,BTH-0167,Line_1,Evening,VoltIndustries,21.25,0.143,14.97,14.69,5024,96.3,None
CELL-007048,BTH-0426,Line_1,Morning,ChemCorp,27.63,0.12,14.83,14.4,5059,96.19,None
CELL-018424,BTH-0292,Line_1,Evening,ChemCorp,20.99,0.165,14.79,15.31,4975,96.89,High Internal Resistance
CELL-001613,BTH-0455,Line_2,Night,LithioMat,20.57,0.121,14.93,13.42,5018,96.3,None
CELL-019187,BTH-0316,Line_2,Evening,ChemCorp,26.9,0.149,14.7,15.24,4978,95.94,High Internal Resistance
CELL-017607,BTH-0464,Line_2,Morning,ChemCorp,27.19,0.128,14.73,15.07,4985,96.02,High Internal Resistance
CELL-003901,BTH-0044,Line_2,Morning,VoltIndustries,24.02,0.12,15.02,14.94,4995,96.12,None
CELL-001510,BTH-0299,Line_3,Evening,LithioMat,23.66,0.119,15.11,13.48,5002,97.62,None
CELL-004098,BTH-0486,Line_1,Morning,ChemCorp,25.14,0.096,14.86,14.15,5044,96.76,None
CELL-002348,BTH-0099,Line_2,Evening,VoltIndustries,23.08,0.149,14.92,14.79,4991,97.79,None
CELL-008691,BTH-0065,Line_1,Night,ChemCorp,21.78,0.132,15.0,14.33,5015,96.42,None
CELL-019759,BTH-0414,Line_3,Night,ChemCorp,21.05,0.156,15.01,14.93,4989,96.24,None
CELL-019812,BTH-0083,Line_1,Night,VoltIndustries,22.16,0.165,14.95,14.65,5027,97.36,None
CELL-013542,BTH-0016,Line_3,Evening,ChemCorp,24.35,0.152,15.05,13.84,4989,97.02,None
CELL-003752,BTH-0055,Line_3,Evening,LithioMat,23.5,0.118,14.96,13.63,5020,96.75,None
CELL-003370,BTH-0178,Line_1,Night,VoltIndustries,21.38,0.129,14.94,14.34,4969,97.79,None
CELL-018764,BTH-0275,Line_3,Morning,VoltIndustries,24.66,0.152,15.07,15.06,5005,97.14,High Internal Resistance
CELL-011824,BTH-0369,Line_2,Evening,LithioMat,26.03,0.161,14.65,16.38,4796,93.18,High Internal Resistance
CELL-019429,BTH-0430,Line_1,Night,LithioMat,20.52,0.13,14.83,13.59,5019,96.71,None
CELL-007433,BTH-0337,Line_1,Evening,ChemCorp,22.97,0.123,15.02,14.66,5001,95.89,None
CELL-005817,BTH-0458,Line_1,Evening,ChemCorp,20.79,0.088,15.05,13.65,5069,97.23,None
CELL-015383,BTH-0460,Line_3,Morning,VoltIndustries,23.23,0.129,14.95,14.59,5020,97.69,None
CELL-012491,BTH-0345,Line_3,Morning,ChemCorp,24.28,0.142,14.92,13.51,5024,97.79,None
CELL-009445,BTH-0169,Line_2,Evening,ChemCorp,23.51,0.139,14.92,13.89,4947,96.53,None
CELL-004511,BTH-0090,Line_2,Night,LithioMat,21.5,0.166,14.97,14.72,5043,98.55,None
CELL-006088,BTH-0458,Line_2,Night,ChemCorp,19.71,0.102,15.1,14.4,4988,97.44,None
CELL-008812,BTH-0381,Line_1,Night,ChemCorp,24.53,0.142,14.86,13.83,4950,95.48,None
CELL-017418,BTH-0034,Line_2,Evening,ChemCorp,23.26,0.185,14.93,13.97,5028,95.9,None
CELL-000946,BTH-0373,Line_3,Evening,ChemCorp,22.95,0.139,14.92,14.2,5024,97.82,None
CELL-000816,BTH-0398,Line_2,Night,VoltIndustries,19.54,0.116,14.94,13.94,4980,97.24,None
CELL-006735,BTH-0093,Line_1,Night,ChemCorp,22.0,0.154,15.12,14.98,4940,96.46,None
CELL-019009,BTH-0388,Line_2,Night,ChemCorp,20.12,0.125,14.99,14.38,5015,96.75,None
CELL-017077,BTH-0150,Line_2,Morning,LithioMat,22.09,0.137,14.93,14.62,5014,95.98,None
CELL-017668,BTH-0141,Line_1,Night,VoltIndustries,20.16,0.115,15.0,15.45,4927,96.73,High Internal Resistance
CELL-003086,BTH-0167,Line_3,Evening,ChemCorp,21.93,0.158,14.93,14.34,5034,97.02,None
CELL-002263,BTH-0012,Line_1,Morning,ChemCorp,26.5,0.131,14.87,14.42,4978,96.44,None
CELL-001746,BTH-0403,Line_1,Evening,VoltIndustries,22.98,0.108,15.03,15.52,4926,94.24,High Internal Resistance
CELL-012563,BTH-0135,Line_1,Evening,ChemCorp,25.48,0.153,15.0,13.48,5000,96.85,None
CELL-005018,BTH-0054,Line_2,Evening,LithioMat,27.12,0.119,14.62,15.61,4886,95.76,High Internal Resistance
CELL-012442,BTH-0465,Line_1,Morning,VoltIndustries,25.1,0.16,15.17,15.1,4901,97.02,High Internal Resistance
CELL-004004,BTH-0424,Line_3,Morning,LithioMat,26.24,0.11,15.05,13.02,5004,97.6,None
CELL-000037,BTH-0236,Line_3,Morning,VoltIndustries,25.16,0.128,14.84,14.59,5004,98.01,None
CELL-008779,BTH-0190,Line_2,Morning,VoltIndustries,24.65,0.16,15.04,14.79,5038,96.27,None
CELL-011411,BTH-0434,Line_3,Evening,ChemCorp,22.01,0.137,14.83,14.42,4974,97.93,None
CELL-013636,BTH-0083,Line_3,Night,LithioMat,20.37,0.18,15.07,14.14,5006,96.58,None
CELL-014431,BTH-0057,Line_2,Evening,ChemCorp,26.28,0.129,14.9,14.26,4972,96.92,None
CELL-007704,BTH-0239,Line_1,Evening,ChemCorp,23.14,0.122,15.01,15.25,4912,96.58,High Internal Resistance
CELL-001780,BTH-0120,Line_3,Morning,LithioMat,20.63,0.153,14.84,13.48,5001,97.1,None
CELL-010499,BTH-0162,Line_1,Night,ChemCorp,22.4,0.159,15.1,13.51,5053,97.61,None
CELL-008776,BTH-0344,Line_2,Evening,LithioMat,24.95,0.125,15.09,13.66,4961,97.4,None
CELL-011087,BTH-0075,Line_3,Morning,VoltIndustries,22.5,0.132,14.89,14.93,4978,97.29,None
CELL-017710,BTH-0243,Line_2,Evening,ChemCorp,24.95,0.132,15.01,13.83,4992,97.75,None
CELL-000432,BTH-0365,Line_3,Evening,ChemCorp,25.01,0.132,15.02,14.8,5002,96.87,None
CELL-011389,BTH-0367,Line_1,Evening,VoltIndustries,22.51,0.141,15.08,14.57,4961,96.42,None
CELL-010185,BTH-0324,Line_3,Morning,ChemCorp,23.11,0.112,14.97,14.22,5051,95.04,None
CELL-011204,BTH-0270,Line_3,Evening,LithioMat,23.19,0.128,14.94,14.01,4967,98.43,None
CELL-019405,BTH-0202,Line_2,Morning,ChemCorp,21.64,0.144,14.97,13.89,4969,97.87,None
CELL-005172,BTH-0237,Line_2,Night,ChemCorp,17.41,0.18,14.89,14.08,4991,97.4,None
CELL-015026,BTH-0351,Line_1,Night,ChemCorp,19.71,0.147,14.94,13.06,4970,97.04,None
CELL-004003,BTH-0495,Line_1,Morning,ChemCorp,26.26,0.111,14.98,13.08,4991,97.22,None
CELL-001631,BTH-0361,Line_2,Night,ChemCorp,22.94,0.136,15.22,13.8,4988,97.07,None
CELL-014144,BTH-0118,Line_1,Night,LithioMat,19.76,0.133,15.03,13.64,4985,96.83,None
CELL-011221,BTH-0484,Line_2,Morning,ChemCorp,25.08,0.156,15.02,14.52,4916,96.93,None
CELL-007186,BTH-0359,Line_2,Morning,LithioMat,24.45,0.127,15.1,14.5,4998,97.08,None
CELL-018632,BTH-0106,Line_1,Morning,LithioMat,23.32,0.166,14.85,13.53,4991,96.91,None
CELL-017577,BTH-0051,Line_1,Evening,LithioMat,25.54,0.125,14.89,14.3,4975,97.22,None
CELL-008637,BTH-0193,Line_1,Evening,ChemCorp,22.2,0.132,15.05,14.1,5032,97.29,None
CELL-009919,BTH-0417,Line_1,Night,ChemCorp,21.65,0.139,14.82,14.58,4990,97.32,None
CELL-003699,BTH-0012,Line_2,Night,VoltIndustries,20.49,0.146,15.06,13.83,5021,96.33,None
CELL-002666,BTH-0318,Line_1,Evening,VoltIndustries,26.22,0.175,14.71,15.63,4917,94.28,High Internal Resistance
CELL-014899,BTH-0480,Line_2,Night,ChemCorp,24.39,0.12,14.92,13.35,5030,96.27,None
CELL-006250,BTH-0450,Line_2,Morning,LithioMat,24.81,0.111,14.81,14.06,4988,95.62,None
CELL-004875,BTH-0013,Line_3,Evening,LithioMat,23.84,0.113,15.07,13.89,4947,97.41,None
CELL-000296,BTH-0416,Line_2,Night,VoltIndustries,22.38,0.124,15.08,14.94,5013,96.97,None
CELL-012784,BTH-0167,Line_1,Night,ChemCorp,20.72,0.128,14.96,14.83,5000,96.85,None
CELL-010483,BTH-0146,Line_2,Night,ChemCorp,22.96,0.151,15.19,13.72,5017,97.35,None
CELL-010605,BTH-0088,Line_2,Evening,LithioMat,22.19,0.127,15.13,14.17,4988,97.68,None
CELL-013656,BTH-0023,Line_1,Night,LithioMat,19.71,0.136,14.97,14.07,5006,96.17,None
CELL-016958,BTH-0481,Line_3,Morning,ChemCorp,21.62,0.145,15.04,14.6,4988,95.51,None
CELL-002824,BTH-0302,Line_3,Morning,ChemCorp,23.5,0.176,15.05,14.45,5014,97.06,None
CELL-007924,BTH-0284,Line_1,Morning,LithioMat,26.46,0.13,15.0,14.63,4994,95.13,None
CELL-002595,BTH-0093,Line_1,Night,ChemCorp,22.75,0.172,14.82,14.14,4997,97.38,None
CELL-000797,BTH-0373,Line_2,Morning,ChemCorp,25.71,0.157,14.94,14.31,5015,96.63,None
CELL-016975,BTH-0250,Line_1,Morning,VoltIndustries,23.23,0.162,15.02,15.43,4910,97.61,High Internal Resistance
CELL-000010,BTH-0122,Line_1,Evening,ChemCorp,27.38,0.106,14.62,16.49,4823,91.72,High Internal Resistance
CELL-000084,BTH-0420,Line_3,Evening,LithioMat,23.66,0.165,15.08,14.53,4974,96.54,None
CELL-019054,BTH-0147,Line_1,Morning,ChemCorp,24.41,0.128,15.02,14.98,4974,96.61,None
CELL-010577,BTH-0382,Line_2,Night,ChemCorp,23.49,0.099,15.17,13.72,5039,98.18,None
CELL-005676,BTH-0411,Line_1,Evening,LithioMat,24.24,0.102,14.82,13.51,4993,97.22,None
CELL-011246,BTH-0208,Line_1,Morning,ChemCorp,25.37,0.134,15.03,13.72,4996,96.8,None
CELL-001762,BTH-0396,Line_1,Evening,LithioMat,24.61,0.095,14.99,14.04,4962,96.33,None
CELL-015641,BTH-0490,Line_1,Evening,LithioMat,23.2,0.129,14.92,14.14,4963,97.68,None
CELL-001027,BTH-0485,Line_1,Morning,ChemCorp,24.44,0.132,14.9,13.96,5015,97.35,None
CELL-013888,BTH-0090,Line_3,Evening,ChemCorp,25.0,0.126,14.9,13.33,5010,96.1,None
CELL-015930,BTH-0192,Line_3,Evening,LithioMat,24.83,0.148,15.16,14.93,5040,96.75,None
CELL-014424,BTH-0484,Line_2,Night,ChemCorp,21.42,0.142,15.0,13.45,5030,96.52,None
CELL-005725,BTH-0292,Line_3,Night,ChemCorp,19.9,0.116,15.06,14.72,5012,97.9,None
CELL-001110,BTH-0388,Line_1,Evening,VoltIndustries,25.5,0.141,14.89,13.48,5008,96.79,None
CELL-007034,BTH-0127,Line_1,Night,VoltIndustries,18.5,0.145,14.96,15.47,4930,98.26,High Internal Resistance
CELL-009604,BTH-0076,Line_2,Evening,LithioMat,22.06,0.157,14.78,16.03,4847,94.85,High Internal Resistance
CELL-018487,BTH-0329,Line_3,Night,ChemCorp,21.04,0.131,15.07,13.36,4983,97.02,None
CELL-000591,BTH-0120,Line_3,Evening,ChemCorp,22.32,0.146,15.0,13.49,5000,95.52,None
CELL-001310,BTH-0220,Line_1,Morning,VoltIndustries,24.69,0.172,14.95,15.5,4935,94.4,High Internal Resistance
CELL-009181,BTH-0322,Line_1,Evening,ChemCorp,25.58,0.136,14.84,13.61,5011,96.27,None
CELL-005335,BTH-0181,Line_1,Morning,VoltIndustries,21.93,0.144,15.11,14.66,4967,95.7,None
CELL-011083,BTH-0325,Line_3,Night,ChemCorp,22.31,0.144,14.92,13.27,5003,96.5,None
CELL-018512,BTH-0358,Line_1,Night,VoltIndustries,23.96,0.105,15.08,14.62,4933,97.39,None
CELL-014809,BTH-0111,Line_1,Evening,ChemCorp,26.66,0.173,14.65,15.34,4933,95.78,High Internal Resistance
CELL-015167,BTH-0211,Line_2,Night,LithioMat,21.69,0.165,14.99,13.83,4999,96.79,None
CELL-014677,BTH-0167,Line_3,Evening,LithioMat,24.0,0.159,15.02,14.26,4968,97.56,None
CELL-008597,BTH-0464,Line_3,Evening,LithioMat,24.32,0.126,15.2,14.12,4987,95.74,None
CELL-008344,BTH-0146,Line_2,Night,ChemCorp,23.11,0.125,14.99,13.93,5021,96.88,None
CELL-005955,BTH-0309,Line_3,Morning,ChemCorp,24.04,0.144,15.09,13.84,4973,96.33,None
CELL-001162,BTH-0022,Line_1,Morning,ChemCorp,26.08,0.155,14.79,15.94,4877,93.49,High Internal Resistance
CELL-016659,BTH-0493,Line_1,Morning,ChemCorp,25.24,0.149,15.0,15.2,4995,97.37,High Internal Resistance
CELL-008432,BTH-0422,Line_3,Morning,ChemCorp,23.72,0.129,14.85,13.06,5016,98.01,None
CELL-015276,BTH-0163,Line_1,Night,VoltIndustries,22.39,0.138,15.15,14.77,4936,96.02,None
CELL-005726,BTH-0081,Line_2,Night,ChemCorp,20.16,0.139,15.03,13.58,4987,97.42,None
CELL-003897,BTH-0106,Line_1,Evening,ChemCorp,24.5,0.142,14.96,13.8,5031,97.91,None
CELL-004975,BTH-0474,Line_1,Night,ChemCorp,20.56,0.127,15.12,13.0,5016,96.06,None
CELL-001422,BTH-0089,Line_1,Morning,ChemCorp,23.19,0.171,15.15,14.55,5061,96.97,None
CELL-018758,BTH-0121,Line_3,Morning,ChemCorp,26.56,0.145,14.72,15.88,4900,95.97,High Internal Resistance
CELL-014441,BTH-0467,Line_1,Morning,VoltIndustries,23.42,0.142,15.01,14.73,4988,96.67,None
CELL-018596,BTH-0221,Line_3,Evening,ChemCorp,25.45,0.139,15.12,14.16,4991,97.81,None
CELL-019020,BTH-0318,Line_2,Evening,LithioMat,24.8,0.125,14.98,14.45,4968,97.07,None
CELL-001850,BTH-0046,Line_2,Evening,ChemCorp,21.82,0.119,14.97,14.65,5006,98.18,None
CELL-004900,BTH-0184,Line_2,Night,ChemCorp,18.75,0.166,15.03,14.68,5011,96.72,None
CELL-001005,BTH-0315,Line_1,Morning,LithioMat,25.89,0.135,14.91,14.16,4963,96.51,None
CELL-005414,BTH-0068,Line_2,Night,VoltIndustries,23.74,0.096,14.97,14.72,4976,97.27,Poor Retention
CELL-015842,BTH-0324,Line_1,Morning,ChemCorp,24.4,0.142,15.04,13.95,5000,97.21,None
CELL-003703,BTH-0121,Line_1,Morning,LithioMat,24.4,0.135,14.99,14.13,4984,96.11,None
CELL-006842,BTH-0358,Line_1,Night,ChemCorp,21.52,0.2,14.9,13.82,4998,96.72,None
CELL-009881,BTH-0289,Line_2,Night,LithioMat,23.76,0.098,14.96,14.3,4991,98.35,None
CELL-005039,BTH-0012,Line_1,Morning,LithioMat,23.74,0.127,15.07,13.24,5057,96.23,None
CELL-009733,BTH-0155,Line_3,Night,ChemCorp,20.17,0.137,14.86,13.41,4987,96.54,None
CELL-005402,BTH-0209,Line_2,Evening,VoltIndustries,24.46,0.164,14.9,14.51,5025,97.8,None
CELL-008250,BTH-0348,Line_1,Evening,LithioMat,23.2,0.172,15.08,13.92,5036,96.25,None
CELL-006929,BTH-0176,Line_1,Evening,LithioMat,23.55,0.137,14.87,13.32,4986,96.27,None
